	Nome Interno do Anúncio	Canal	Tipo de Acomodação	Porte	Atendecência Reserva (dias)	Data de Criação	Chegada	Data de checkout	Número de Noites	Adults Count	Children Count	Infants Count	Total de Hóspedes	Total da Reserva	Total da reserva por hospede	Total da reserva por noite	Valor por Noite	Ganhos	Ganho por hospede	Ganho por Noite	Comissão Plataforma	Bairro	Status da Reserva	OTA's external code
0	Studio Praia Ipanema	Airbnb	Espaço Inteiro	Pequeno	5	2023-08-07	2023-08-12	2023-08-15	3	2	0	0	2	971.39	485.695	323.8	323.8	825.68	412.84	275.23	145.71	Ipanema	Confirmada	HMYM2TERN4
1	Charmoso Apartamento no Leblon!	Airbnb	Espaço Inteiro	Pequeno	3	2023-08-08	2023-08-11	2023-08-22	11	1	0	0	1	4902.52	4902.52	445.68	445.68	4167.14	4167.14	378.83	735.38	Leblon	Confirmada	HMK9A3HPXS
2	Apê Amplo Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	31	2023-07-11	2023-08-11	2023-08-14	3	8	0	0	8	2052.22	256.5275	684.07	684.07	1744.39	218.05	581.46	307.83	Ipanema	Confirmada	HMRSW4ZSKM
3	Stúdio Praia Leblon	Airbnb	Espaço Inteiro	Pequeno	31	2023-07-11	2023-08-11	2023-08-13	2	2	0	0	2	820.88	410.44	410.44	410.44	697.75	348.88	348.88	123.13	Leblon	Confirmada	HMXPZ8WSSP
4	Apê Amplo em Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	8	2023-08-02	2023-08-10	2023-08-17	7	4	0	0	4	3897.51	974.3775	556.79	556.79	3312.88	828.22	473.27	584.63	Ipanema	Confirmada	HMXP8HBHHK
5	Ipanema Studio 300 m da praia	Airbnb	Espaço Inteiro	Pequeno	4	2023-08-05	2023-08-09	2023-08-14	5	1	0	0	1	1254.13	1254.13	250.83	250.83	1066.01	1066.01	213.2	188.12	Ipanema	Confirmada	HMHZH85KDF
6	Super Apê com Jacuzzi Ipanema	Airbnb	Espaço Inteiro	Grande	28	2023-07-11	2023-08-08	2023-08-13	5	6	0	0	6	3135.34	522.5566666666667	627.07	627.07	2665.04	444.17	533.01	470.3	Ipanema	Confirmada	HMWF5JDB8C
7	Super Apê com Jacuzzi Ipanema	Airbnb	Espaço Inteiro	Grande	1	2023-08-05	2023-08-06	2023-08-07	1	3	0	0	3	718.28	239.42666666666665	718.28	718.28	610.54	203.51	610.54	107.74	Ipanema	Confirmada	HMR2X94R9Z
8	Charmoso Apartamento no Leblon!	Airbnb	Espaço Inteiro	Pequeno	1	2023-08-03	2023-08-04	2023-08-09	5	1	0	0	1	1915.42	1915.42	383.08	383.08	1628.11	1628.11	325.62	287.31	Leblon	Confirmada	HMWX2FTRC8
9	Apê Amplo Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	23	2023-07-12	2023-08-04	2023-08-07	3	8	0	0	8	2052.22	256.5275	684.07	684.07	1744.39	218.05	581.46	307.83	Ipanema	Confirmada	HM8Y4KYWQB
10	Apartamento Leblon Vista Mar!	Airbnb	Espaço Inteiro	Pequeno	8	2023-07-27	2023-08-04	2023-08-06	2	2	0	0	2	969.11	484.555	484.56	484.56	823.74	411.87	411.87	145.37	Leblon	Confirmada	HMYP4PM4TR
11	Stúdio Praia Leblon	Airbnb	Espaço Inteiro	Pequeno	16	2023-07-19	2023-08-04	2023-08-06	2	2	0	0	2	820.88	410.44	410.44	410.44	697.75	348.88	348.88	123.13	Leblon	Confirmada	HMJ38HPAQN
12	"Copanema linda kitnet
300 m da praia e Arpoador"	Airbnb	Espaço Inteiro	Pequeno	2	2023-07-31	2023-08-02	2023-08-05	3	1	0	0	1	703.44	703.44	234.48	234.48	597.92	597.92	199.31	105.52	Ipanema	Confirmada	HM94H9YF3J
13	Apê Ipanema à 600m da praia	Airbnb	Espaço Inteiro	Pequeno	1	2023-07-31	2023-08-01	2023-08-08	7	1	0	0	1	1744.39	1744.39	249.2	249.2	1482.73	1482.73	211.82	261.66	Ipanema	Confirmada	HMN3NZWH5P
14	Super Apê com Jacuzzi Ipanema	Airbnb	Espaço Inteiro	Grande	1	2023-07-31	2023-08-01	2023-08-05	4	6	0	0	6	2519.67	419.945	629.92	629.92	2141.72	356.95	535.43	377.95	Ipanema	Confirmada	HMA3YDJSD5
15	Charmoso Apartamento no Leblon!	Airbnb	Espaço Inteiro	Pequeno	2	2023-07-30	2023-08-01	2023-08-03	2	1	0	0	1	706.87	706.87	353.44	353.44	600.84	600.84	300.42	106.03	Leblon	Confirmada	HMDSJRM2ES
